#;LINEARobjectID;LCtype  ;  P;A;mmed;stdev;rms;Lchi2pdf;nObs;skew;kurt;LR;CUF;t2;t3
;163933;2;0.339629;0.46;15.53;0.16;0.22;1.479;306;0.11;-1.32;1.322;1;0;0
;172382;1;0.458312;1.09;16.44;0.33;0.31;1.836;227;-1.14;0.4;1.284;1;0;0
;174389;2;0.334034;0.32;15.05;0.11;0.14;1.429;270;0.14;-0.89;1.217;1;0;0
;177235;5;0.320581;0.32;15.12;0.1;0.13;1.422;204;0.01;-1.31;1.245;1;0;0
;178224;5;0.446932;0.44;14.64;0.14;0.18;2.006;159;0.36;-1.08;1.889;2;0;0
;180870;5;0.29276;0.35;16.19;0.1;0.11;0.493;218;0.36;-0.37;0.241;1;0;0
;182540;5;0.249339;0.56;15.12;0.2;0.26;1.705;76;0.15;-1.26;1.569;2;0;0
;186102;1;0.647424;0.77;16.44;0.26;0.31;1.242;188;-0.23;-1.02;1;2;11;0
;190201;5;0.222522;0.44;14.53;0.15;0.13;1.742;44;1.12;-0.05;1.464;2;0;0
;190820;1;0.572747;0.96;14.53;0.32;0.41;2.919;214;-0.57;-1.02;2.713;1;0;0
;192088;4;1.734797;0.46;15.19;0.14;0.13;1.488;556;3.16;9.62;0.326;1;0;0
;199576;5;0.394758;0.42;14.55;0.13;0.16;2.168;367;0.46;-0.72;1.891;1;0;0
;200595;5;0.286869;0.56;15.17;0.19;0.23;1.925;396;0.86;-0.57;1.742;1;0;0
;213223;2;0.217751;0.36;14.1;0.12;0.14;2.385;336;0.51;-0.07;2.083;2;5;0
;215632;1;0.572165;0.61;16.12;0.2;0.26;1.616;286;-0.39;-0.94;1.349;1;0;0
;216529;5;0.707115;0.49;14.32;0.15;0.16;2.296;253;0.71;-0.05;2.034;1;0;0
;221694;4;0.86439;0.35;15.28;0.11;0.09;1.312;337;2.22;5.12;0.644;2;3;0
;224940;5;0.263694;0.62;14.99;0.21;0.26;2.15;157;0.7;-0.61;1.939;1;0;0
;225320;5;0.316118;0.78;14.04;0.25;0.31;2.916;351;0.66;-0.65;2.736;1;0;0
;230554;5;0.228885;0.51;15.89;0.17;0.22;1.354;355;0.64;-0.77;1.165;1;0;0
;238576;5;0.308377;0.75;15.19;0.25;0.32;2.078;248;0.74;-0.69;1.87;1;0;0
;243018;5;0.272196;0.4;16.41;0.12;0.15;0.699;271;0.32;-0.64;0.471;1;0;0
;249735;0;-9.9;0.47;15.53;0.14;0.15;1.747;261;-0.13;0.75;1.194;1;0;0
;251676;5;0.286027;0.54;15.37;0.18;0.22;1.734;311;0.85;-0.46;1.522;1;0;0
;252284;5;0.464348;0.66;16.73;0.21;0.22;0.746;382;1.04;0.9;0.474;2;4;0
;252649;5;0.264338;0.46;14.36;0.15;0.2;2.329;256;0.3;-1.13;2.166;1;0;0
;255857;5;0.311176;0.47;15.82;0.27;0.15;1.245;317;4.61;27.19;0.933;1;0;0
;257977;5;0.277893;0.6;16.97;0.22;0.23;0.605;313;0.95;3.12;0.387;1;0;0
;258499;2;0.401506;0.35;15.43;0.12;0.14;1.308;275;-0.08;-0.97;1.065;1;0;0
;263541;1;0.558207;0.68;15.82;0.22;0.25;1.888;270;-0.73;-0.13;1.439;1;0;0
;266435;5;0.24524;0.37;15.74;0.13;0.16;1.305;245;0.25;-1.15;1.143;1;0;0
;269954;5;0.321081;0.35;15.37;0.12;0.16;1.463;274;0.36;-1.25;1.277;1;0;0
;271720;5;0.240253;0.66;16.67;0.22;0.26;0.889;244;0.72;-0.46;0.657;1;0;0
;283417;4;1.026891;0.45;15.98;0.13;0.11;0.924;249;1.57;2.04;0.498;1;0;0
;284356;5;0.2785;0.61;15.23;0.21;0.25;1.857;317;0.85;-0.47;1.628;1;0;0
;284560;5;0.257286;0.36;16.23;0.11;0.13;0.642;304;0.61;0.17;0.398;1;0;0
;287935;5;0.372655;0.35;14.77;0.12;0.14;1.739;190;0.62;-0.48;1.53;1;0;0
;291777;5;1.854071;0.39;15.33;0.11;0.11;1.344;271;1.23;0.75;0.998;2;4;0
;292893;5;0.273607;0.45;14.34;0.15;0.19;2.297;309;0.5;-0.33;2.081;1;0;0
;295532;5;0.443335;0.83;14.93;0.27;0.31;2.156;138;0.81;-0.4;1.893;1;0;0
;301278;5;0.307314;0.32;14.95;0.1;0.13;1.57;254;0.59;-0.65;1.479;1;0;0
;303860;1;0.492143;0.89;16.21;0.28;0.31;1.713;280;-0.64;-0.35;1.233;2;0;0
;309626;1;0.595824;0.68;15.27;0.22;0.28;2.292;215;-0.84;-0.4;1.884;1;0;0
;316910;5;0.358828;0.31;14.03;0.1;0.13;2.104;259;0.15;-1.22;1.962;1;0;0
;330723;5;0.291711;0.32;15.05;0.11;0.14;1.387;263;0.39;-0.95;1.208;1;0;0
;333594;0;-9.9;0.5;15.16;0.16;0.21;1.764;273;0.28;-1.03;1.513;1;0;0
;334185;5;0.311457;0.52;16.43;0.17;0.17;0.625;297;0.98;0.95;0.405;1;0;0
;344450;5;0.286716;0.38;16.4;0.12;0.13;0.522;237;0.63;1.04;0.229;1;0;0
;346722;5;0.26873;0.56;16.5;0.18;0.21;0.722;209;0.7;0.25;0.524;1;0;0
;350065;5;0.30427;0.45;14.21;0.15;0.17;2.294;153;0.45;-0.84;2.092;1;0;0
;350603;5;0.279545;0.47;16.56;0.17;0.18;0.57;172;1;1.1;0.369;1;0;0
;351485;4;1.657202;0.29;15.18;0.1;0.05;0.942;176;2.97;8.69;0.381;2;3;0
;353010;5;0.279915;0.53;15.83;0.18;0.22;1.229;277;0.92;-0.21;0.979;1;0;0
;353953;5;0.34756;0.32;15.77;0.12;0.13;0.928;158;1.45;3.67;0.693;1;0;0
;355767;1;0.52137;1;16.98;0.32;0.41;1.07;180;-0.19;-0.95;0.874;1;0;0
;361795;5;0.311585;0.6;15.33;0.2;0.24;1.595;211;0.89;-0.36;1.353;1;0;0
;361960;1;0.49705;0.81;14.37;0.24;0.25;2.813;207;-0.61;-0.41;2.4;2;0;0
;370327;5;0.310352;0.44;16.4;0.15;0.21;0.957;576;0.57;-0.35;0.784;1;0;0
;370495;5;0.227056;0.42;16.33;0.14;0.17;0.889;401;0.76;-0.15;0.645;1;0;0
;374379;5;0.32973;0.4;15.6;0.13;0.18;1.522;597;0.22;-1.07;1.318;1;0;0
;375186;5;0.244488;0.42;16.83;0.13;0.16;0.52;574;0.14;0.77;0.182;1;0;0
;377162;4;0.573512;0.38;16.16;0.11;0.12;0.684;580;1.7;2.88;0.182;1;0;0
;379033;5;0.350426;0.63;15.06;0.21;0.3;2.187;598;0.64;-0.92;2.02;1;0;0
;379731;5;0.290044;0.63;15.08;0.21;0.28;2.136;598;0.85;-0.65;1.965;1;0;0
;386501;1;0.4576;1.06;16.52;0.34;0.44;1.958;579;-0.75;-0.61;1.538;1;0;0
;389895;5;0.255368;0.55;15.79;0.19;0.24;1.508;580;1.06;2.4;1.276;1;0;0
;393084;1;0.530027;0.9;16.87;0.29;0.32;1.432;493;-0.52;-0.36;0.933;1;0;0
;400425;5;0.575621;0.45;16.01;0.15;0.2;1.219;617;0.43;-0.71;0.999;1;0;0
;403779;5;0.295208;0.43;16.51;0.2;0.15;0.728;380;4.14;30.63;0.427;1;0;0
;407281;4;0.827492;0.42;15.25;0.12;0.11;1.479;474;2.31;4.95;0.743;1;0;0
;407450;4;3.812744;0.85;16.55;0.25;0.16;0.807;591;2.51;6.23;0.089;1;0;0
;418785;1;0.70014;0.6;16.87;0.2;0.24;0.905;263;0.28;0.74;0.692;2;11;0
;418879;5;0.237461;0.58;16.18;0.19;0.24;1.203;367;0.7;-0.68;0.988;1;0;0
;420220;5;0.368279;0.4;15.26;0.14;0.2;1.72;330;0.34;-1.21;1.53;1;0;0
;420327;1;0.535221;0.49;15.61;0.15;0.17;1.351;144;-0.27;-0.86;1.091;1;0;0
;433281;5;0.285896;0.45;15.84;0.15;0.2;1.293;323;0.52;-0.87;1.16;1;0;0
;433308;5;0.511926;0.49;14.2;0.16;0.22;2.46;340;0.51;-1.03;2.321;1;0;0
;434098;0;-9.9;0.41;16.41;0.14;0.17;0.86;360;0.21;-0.42;0.693;1;0;0
;437483;1;0.699237;0.42;16.75;0.14;0.16;0.706;316;0.26;-0.54;0.456;1;0;0
;439441;1;0.709248;0.48;16.29;0.19;0.18;1.057;349;4.4;46.37;0.835;1;0;0
;440750;5;0.471956;0.35;15.87;0.1;0.12;0.966;341;0.42;0.06;0.629;2;2;0
;440879;5;0.38925;0.32;15.48;0.1;0.13;1.368;351;0.09;-1;1.123;2;2;0
;444083;5;0.247905;0.57;14.43;0.19;0.25;2.4;351;0.63;-0.88;2.225;1;0;0
;445712;5;0.330423;0.39;14.1;0.12;0.14;2.413;357;0.2;-0.54;2.125;2;2;0
;451311;5;0.453442;0.43;14.06;0.13;0.17;2.534;354;0.37;-0.44;2.198;2;2;0
;452441;5;0.458191;0.79;14.99;0.25;0.31;2.257;377;0.98;-0.22;2.035;1;0;0
;452488;5;0.634274;0.31;14.39;0.1;0.15;1.946;355;0.83;-0.71;1.714;2;2;0
;458198;5;0.32036;0.45;15.39;0.16;0.22;1.696;382;0.25;-1.25;1.534;1;0;0
;463861;5;0.298454;0.71;15.66;0.24;0.13;1.361;313;4.56;30.59;0.887;1;0;0
;465267;5;1.09886;0.57;16.09;0.17;0.11;0.846;246;2.4;5.33;0.251;1;0;0
;468106;5;0.266049;0.43;16.26;0.14;0.17;0.846;318;0.67;-0.38;0.665;1;0;0
;468548;5;0.281865;0.75;14.73;0.25;0.32;2.464;367;0.83;-0.58;2.265;1;0;0
;477364;5;0.344344;0.4;14.66;0.13;0.17;2.027;286;0.38;-0.78;1.824;1;0;0
;477871;5;0.354317;0.41;14.34;0.12;0.13;2.27;278;0.65;0.05;1.884;2;2;0
;481844;5;0.313663;0.44;16.77;0.13;0.1;0.538;303;-0.53;3.43;-0.258;1;0;0
;491901;5;0.245949;0.66;16.64;0.22;0.28;0.919;290;0.75;-0.58;0.752;1;0;0
;505485;5;0.329876;0.45;15.56;0.15;0.19;1.414;291;0.59;-0.67;1.217;1;0;0
;514207;5;0.426159;0.37;15.92;0.13;0.09;0.683;263;4.1;28.36;0.051;2;4;0
;514883;1;0.557727;0.6;15.8;0.17;0.18;1.46;289;-0.56;0.25;1.069;1;0;0
;516954;2;0.297569;0.63;15.81;0.2;0.25;1.461;243;-0.04;-1.05;1.243;1;0;0
;518233;5;0.33373;0.55;15.2;0.19;0.19;1.561;194;-0.28;6.02;1.284;1;0;0
;519732;5;0.292987;0.76;15.72;0.25;0.31;1.601;304;0.81;-0.54;1.415;1;0;0
;522416;5;0.431086;0.32;14.15;0.1;0.13;1.995;257;0.48;-0.93;1.807;1;0;0
;523832;2;0.372376;0.46;15.58;0.16;0.2;1.428;251;0.02;-1.3;1.268;1;0;0
;525739;5;0.351723;0.81;16.92;0.25;0.25;0.84;236;-0.07;0.85;0.713;1;0;0
;531331;5;0.309674;0.51;14.9;0.17;0.2;1.836;113;0.82;-0.3;1.657;1;0;0
;533976;4;1.422963;0.42;16.25;0.17;0.1;0.654;236;3.08;11.32;-0.012;1;0;0
;538267;5;0.422374;0.47;15.02;0.14;0.13;1.479;158;1.4;1.69;1.125;1;0;0
;544831;7;132.846191;0.78;14.6;0.28;0.34;2.804;185;0.35;-0.81;2.537;1;0;0
;548794;5;0.240943;0.75;16.76;0.25;0.27;0.7;243;0.95;0.79;0.456;1;0;0
;548881;5;0.308181;0.36;15.31;0.12;0.13;1.228;152;0.22;-0.73;0.945;1;0;0
;549204;5;0.155874;1.03;15.28;0.36;0.29;2.02;300;2.04;5.92;1.628;3;4;3
;558961;1;0.600533;0.48;14.73;0.16;0.15;2.165;213;-0.27;0.49;1.794;1;0;0
;560275;5;0.265469;0.38;15.24;0.13;0.17;1.383;232;0.77;-0.61;1.183;1;0;0
;565638;6;0.086365;0.37;16.24;0.12;0.15;0.688;234;-0.07;-0.65;0.489;1;0;0
;565920;5;0.249622;0.34;15.99;0.11;0.11;0.637;238;0.85;1.92;0.377;1;0;0
;566615;5;0.33024;0.53;15.16;0.19;0.25;1.826;202;0.48;-1.15;1.654;1;0;0
;569135;5;0.245147;0.72;16.4;0.23;0.28;1.004;226;0.8;-0.23;0.796;1;0;0
;575145;5;0.297399;0.59;15.51;0.19;0.21;1.459;185;1.11;0.2;1.213;1;0;0
;575883;5;0.378261;0.36;15.07;0.12;0.15;1.423;79;0.63;-0.53;1.213;1;0;0
;602919;5;0.259783;0.58;15.97;0.2;0.26;1.392;529;0.72;-0.62;1.205;1;0;0
;608497;1;0.485632;0.8;15.53;0.26;0.3;2.349;556;-0.87;-0.11;1.887;1;0;0
;616222;5;0.346167;0.42;15.01;0.14;0.19;1.942;570;0.66;-0.87;1.757;1;0;0
;621395;5;0.367371;0.59;15.34;0.2;0.26;1.901;442;0.7;-0.85;1.71;1;0;0
;624656;5;0.302738;0.57;16.34;0.19;0.24;1.117;568;0.93;0.37;0.932;1;0;0
;629195;5;0.229956;0.41;15.69;0.13;0.17;1.332;597;0.68;-0.67;1.107;1;0;0
;636251;5;0.293859;0.68;14.95;0.24;0.32;2.232;387;0.5;-1.18;2.082;1;0;0
;637718;5;0.256357;0.73;16.66;0.24;0.27;1.02;577;0.67;0.84;0.764;1;0;0
;637802;5;0.255798;0.56;16.89;0.18;0.25;0.672;594;0.83;0;0.441;1;0;0
;654062;4;1.334089;0.47;15.76;0.15;0.19;1.142;517;1.94;3.75;0.426;2;3;0
;655961;1;0.584869;0.63;16.24;0.21;0.25;1.291;368;0.13;-0.11;1.025;1;0;0
;658512;2;0.352602;0.54;16.89;0.17;0.19;0.572;404;0.1;0.1;0.284;1;0;0
;662873;1;0.533705;0.72;16.36;0.23;0.27;1.433;453;-0.5;0;1.135;1;0;0
;664583;1;0.602986;0.61;16.53;0.19;0.25;1.189;449;-0.35;-0.73;0.917;1;0;0
;665332;5;0.25465;0.55;16.25;0.28;0.25;1.362;349;3.33;20.67;1.114;1;0;0
;666805;5;0.334817;0.53;14.02;0.17;0.22;2.693;363;0.47;-0.68;2.458;2;0;0
;668072;5;0.279819;0.57;16.64;0.18;0.22;0.771;399;0.45;-0.66;0.476;1;0;0
;670864;1;0.600812;0.52;16.82;0.16;0.19;0.647;336;-0.11;-0.17;0.188;1;0;0
;672016;0;-9.9;0.38;16.17;0.12;0.14;1.01;353;-0.47;-0.33;0.774;1;0;0
;672294;5;0.283562;0.44;16.36;0.16;0.16;0.753;528;3.24;31.24;0.409;1;0;0
;677788;4;0.754126;0.49;14.76;0.17;0.1;1.999;347;3.14;10.49;1.217;2;5;0
;685989;5;0.294796;0.8;14.7;0.27;0.32;2.605;286;0.83;-0.58;2.38;1;0;0
;691815;5;0.299186;0.35;14.67;0.11;0.13;1.961;360;0.46;-0.59;1.709;1;0;0
;693239;1;0.530413;0.73;14.53;0.24;0.27;2.852;312;-0.65;-0.38;2.534;1;0;0
;695343;5;0.265859;0.31;14.66;0.27;0.11;1.677;156;7.28;57.65;1.275;1;0;0
;701058;5;0.324843;0.52;14.57;0.2;0.23;2.429;265;1.41;3.61;2.249;1;0;0
;702465;5;0.29181;0.85;15.14;0.29;0.35;2.261;257;0.68;-0.85;2.132;1;0;0
;703406;5;0.296891;0.57;15.03;0.2;0.26;2.047;357;0.72;-0.86;1.906;1;0;0
;704333;5;0.351832;0.58;14.64;0.2;0.26;2.457;280;0.44;-1.24;2.334;1;0;0
;705430;5;0.252984;0.33;16.32;0.11;0.12;0.644;239;0.2;-0.68;0.447;1;0;0
;711716;5;0.311598;0.6;16.1;0.21;0.26;1.357;259;0.7;-0.77;1.203;1;0;0
;717668;2;0.426742;0.34;15.6;0.12;0.16;1.37;302;0.2;-1.37;1.227;1;0;0
;717917;5;0.341883;0.45;16.4;0.13;0.14;0.648;234;0.51;-0.2;0.363;1;0;0
;718728;5;0.307834;0.3;15.18;0.1;0.13;1.53;309;0.24;-0.7;1.279;1;0;0
;729823;1;0.589937;0.87;16.9;0.28;0.35;1.252;315;-0.22;-1.01;0.973;1;0;0
;734545;2;0.289482;0.33;15.41;0.11;0.14;1.412;305;-0.37;-0.89;1.222;1;0;0
;734806;5;0.269198;0.56;16.61;0.18;0.2;0.674;157;0.86;0.17;0.43;1;0;0
;737951;2;0.357022;0.51;16.07;0.16;0.19;1.269;273;-0.26;-0.63;1.021;1;0;0
;746911;5;0.382317;0.41;14.81;0.14;0.18;2.003;219;0.24;-1.24;1.821;1;0;0
;747079;5;0.286876;0.58;16.22;0.19;0.25;1.214;330;0.34;-1.12;1.092;1;0;0
;747890;1;0.629413;0.55;14.45;0.18;0.22;2.508;289;-0.18;-1.23;2.296;1;0;0
;762911;4;1.943252;0.35;14.94;0.1;0.08;1.338;294;2.66;6.76;0.394;2;3;0
;767072;5;0.215225;0.45;16.11;0.15;0.19;0.942;301;0.54;-0.69;0.74;1;0;0
;767277;5;0.234979;0.64;15.63;0.21;0.27;1.513;277;0.74;-0.72;1.321;1;0;0
;770627;5;0.341705;0.66;15.05;0.19;0.19;1.751;164;1.21;0.77;1.529;1;0;0
;771232;1;0.540926;0.78;16.17;0.25;0.28;1.71;301;-0.84;-0.4;1.322;1;0;0
;782055;5;0.382021;0.46;15.66;0.16;0.21;1.26;289;0.47;-0.94;1.083;1;0;0
;783334;5;0.321209;0.47;14.41;0.16;0.2;2.27;205;0.41;-0.95;2.093;1;0;0
;784446;5;0.324786;0.55;14.41;0.18;0.22;2.2;284;0.77;-0.64;1.981;1;0;0
;798477;1;0.651629;0.67;16.46;0.24;0.26;1.161;294;0.66;4.57;0.866;1;0;0
;798482;2;0.277936;0.58;16.5;0.19;0.23;0.78;301;0.01;-0.95;0.646;1;0;0
;799320;5;0.306616;0.44;16.54;0.14;0.16;0.507;221;0.45;-0.58;0.32;1;0;0
;799685;5;0.280573;0.35;15.85;0.11;0.14;0.871;333;0.25;-0.11;0.676;1;0;0
;801247;6;0.05296;-9.9;16.15;0.12;0.13;0.658;282;-0.13;0.63;0.403;1;0;0
;803829;1;0.595283;0.78;14.74;0.26;0.31;2.693;270;-0.61;-0.76;2.296;1;0;0
;808583;5;0.284983;0.36;15.88;0.11;0.14;0.78;270;0.53;-0.27;0.551;1;0;0
;810169;1;0.465184;0.88;16.06;0.27;0.32;1.699;289;-0.6;-0.46;1.336;1;0;0
;812096;5;0.265023;0.41;16.21;0.13;0.16;0.736;237;0.25;-0.26;0.471;1;0;0
;813450;1;0.58937;0.67;16.37;0.21;0.23;1.178;221;-0.41;-0.07;0.83;1;0;0
;817360;6;0.064675;-9.9;15.05;0.15;0.18;1.85;233;-0.64;-0.66;1.561;1;0;0
;826908;5;0.370982;0.68;16.05;0.21;0.19;1.133;195;1.5;1.45;0.782;1;0;0
;835496;5;0.291376;0.52;15.95;0.16;0.2;1.034;176;0.6;-0.59;0.818;1;0;0
;836895;1;0.473397;1.05;15.83;0.34;0.43;2.33;194;-0.87;-0.62;2.018;1;0;0
;838906;5;0.383466;0.34;15.29;0.1;0.11;1.075;178;0.61;0.07;0.809;1;0;0
;843294;2;0.374216;0.41;15.72;0.2;0.2;1.465;290;3.14;17.54;1.316;1;0;0
;843597;2;0.349016;0.49;16.45;0.16;0.21;0.999;309;-0.19;-0.91;0.811;1;0;0
;851614;2;0.339573;0.38;15.6;0.14;0.2;1.424;105;0.13;-1.45;1.238;1;0;0
;851716;2;0.388355;0.54;16.32;0.16;0.19;1.105;100;-0.45;-0.47;0.669;1;0;0
;855171;4;1.115548;0.54;16.69;0.26;0.12;0.512;102;3.85;18.25;-0.006;2;0;0
;856137;5;0.248168;0.71;15.89;0.24;0.25;1.529;289;0.87;-0.46;1.358;1;0;0
;856862;1;0.62585;0.47;16.55;0.15;0.18;0.879;294;-0.13;-0.48;0.567;1;0;0
;868267;5;0.271842;0.38;15.17;0.12;0.16;1.62;304;0.68;-0.5;1.413;1;0;0
;869112;1;0.635691;0.35;15.96;0.11;0.13;0.949;322;-0.32;-0.66;0.707;1;0;0
;872160;5;0.356043;0.44;15.9;0.13;0.12;1.03;319;1.42;1.62;0.631;1;0;0
;872620;1;0.549248;0.81;16.67;0.27;0.34;1.345;282;-0.26;-1.09;1.121;1;0;0
;880568;1;0.628276;0.67;15.76;0.23;0.29;2.034;200;-0.54;-0.87;1.623;1;0;0
;880588;1;0.600142;0.86;16.83;0.26;0.29;1.344;295;-0.82;0.17;0.888;1;0;0
;883073;1;0.725515;0.42;16.35;0.13;0.16;0.892;302;-0.06;-0.56;0.627;2;11;0
;885361;1;0.580546;0.76;16.95;0.24;0.27;1.025;291;-0.42;-0.5;0.703;1;0;0
;895953;1;0.658155;0.47;16.72;0.15;0.18;0.762;297;-0.27;-0.75;0.423;1;0;0
;897468;0;0.65849;0.34;15.96;0.11;0.11;0.59;96;0.17;-0.19;0.415;1;0;0
;899832;1;0.589462;0.59;14.98;0.21;0.28;2.364;285;-0.27;-1.22;2.179;1;0;0
;902168;5;0.337707;0.69;14.09;0.21;0.24;2.698;290;0.78;-0.37;2.491;1;0;0
;912581;1;0.515527;0.63;14.29;0.19;0.19;2.79;289;-0.93;0.19;2.422;3;0;0
;913320;4;4.621047;0.44;15.25;0.14;0.14;1.486;581;2.94;8.98;0.62;1;0;0
;917534;2;0.326702;0.59;16.91;0.23;0.21;0.71;550;1.85;8.3;0.354;1;0;0
;918281;4;0.878194;0.55;16.18;0.16;0.17;0.956;514;1.76;2.61;0.427;1;0;0
;921843;5;0.293694;0.44;15.58;0.14;0.17;1.416;550;0.43;-0.16;1.127;1;0;0
;924301;1;0.507505;0.82;15.99;0.26;0.31;1.972;418;-0.43;-0.48;1.54;1;0;0
;924405;4;0.90663;0.38;16.21;0.12;0.15;0.714;577;2.41;6.82;0.047;1;0;0
;931943;1;0.532899;1;16.65;0.32;0.37;1.627;284;-0.4;-0.35;1.321;1;0;0
;932204;5;0.286783;0.59;14.47;0.22;0.27;2.461;276;1.08;1.41;2.259;1;0;0
;940906;1;0.576609;1;14.09;0.32;0.38;3.464;286;-0.75;-0.62;3.183;1;0;0
;943836;2;0.341713;0.39;15.99;0.12;0.14;0.879;229;-0.5;0.35;0.676;1;0;0
;950554;2;0.314674;0.48;16.24;0.16;0.21;1.017;321;-0.04;-1.1;0.864;1;0;0
